,Open,High,Low,Close,Volume,Close time
0,0.2,6.95,0.2,2.9854,512904522.9,2021-12-19 23:59:59.999
1,2.9832,3.3888,2.7616,2.7917,78564245.5,2021-12-26 23:59:59.999
2,2.7917,4.3212,2.6,4.0187,109120405.9,2022-01-02 23:59:59.999
3,4.0186,4.1227,2.4921,2.583,41792744.6,2022-01-09 23:59:59.999
4,2.5834,2.83,2.28,2.5468,34154343.7,2022-01-16 23:59:59.999
5,2.5464,2.5472,1.128,1.5028,43967639.2,2022-01-23 23:59:59.999
6,1.5018,1.71,1.2,1.477,28852453.8,2022-01-30 23:59:59.999
7,1.477,2.2609,1.42,2.075,82606710.2,2022-02-06 23:59:59.999
8,2.075,2.136,1.3526,1.3546,37291098.5,2022-02-13 23:59:59.999
9,1.3537,1.5597,1.0616,1.0848,20442670.8,2022-02-20 23:59:59.999
10,1.0857,1.8092,0.9019,1.5065,185459324.8,2022-02-27 23:59:59.999
11,1.5085,2.13,1.3237,1.34,81098842.0,2022-03-06 23:59:59.999
12,1.3397,1.467,1.0951,1.1848,89382704.5,2022-03-13 23:59:59.999
13,1.1841,1.42,1.03,1.282,85590939.6,2022-03-20 23:59:59.999
14,1.2815,1.52,1.2086,1.3885,77228908.3,2022-03-27 23:59:59.999
15,1.3885,2.86,1.365,2.1143,260357468.9,2022-04-03 23:59:59.999
16,2.1148,2.2914,1.5232,1.6116,85993584.3,2022-04-10 23:59:59.999
17,1.6105,1.6149,1.32,1.4631,52940668.4,2022-04-17 23:59:59.999
18,1.4619,1.725,1.2615,1.2907,66342534.9,2022-04-24 23:59:59.999
19,1.2907,1.688,1.16,1.2539,105206788.7,2022-05-01 23:59:59.999
20,1.2546,1.353,0.9798,1.008,52298706.6,2022-05-08 23:59:59.999
21,1.0087,1.057,0.3471,0.6066,126391173.8,2022-05-15 23:59:59.999
22,0.6066,0.7536,0.5,0.6695,75226284.8,2022-05-22 23:59:59.999
23,0.6695,0.7496,0.5582,0.6169,52893327.3,2022-05-29 23:59:59.999
24,0.6169,0.7756,0.5355,0.5779,46285581.0,2022-06-05 23:59:59.999
0,0.578,0.61,0.394,0.4244,56418796.6,2022-06-12 23:59:59.999000
