,Open,High,Low,Close,Volume,Close time
0,12.49,15.6774,10.7,14.5304,44817812.53,2018-06-03 23:59:59.999
1,14.5304,15.0015,10.98,11.7313,39189936.13,2018-06-10 23:59:59.999
2,11.7355,11.93,9.12,10.3388,51540936.95,2018-06-17 23:59:59.999
3,10.3388,10.9693,6.92,8.06,65050019.65,2018-06-24 23:59:59.999
4,8.0526,8.7,7.0804,8.1164,60101766.46,2018-07-01 23:59:59.999
5,8.1136,9.4363,7.88,8.6827,50173915.09,2018-07-08 23:59:59.999
6,8.6826,8.7165,6.54,7.4075,83327500.38,2018-07-15 23:59:59.999
7,7.4026,9.37,7.2202,7.8488,84836724.0,2018-07-22 23:59:59.999
8,7.8461,9.1407,7.7165,8.3148,83728191.74,2018-07-29 23:59:59.999
9,8.3171,8.35,6.85,7.0373,60494432.15,2018-08-05 23:59:59.999
10,7.0339,7.19,4.8152,4.9653,83153865.11,2018-08-12 23:59:59.999
11,4.9631,5.661,4.15,5.2843,82730886.18,2018-08-19 23:59:59.999
12,5.2854,5.355,4.5203,4.9497,86401815.48,2018-08-26 23:59:59.999
13,4.9457,6.8116,4.9043,6.6366,103123149.26,2018-09-02 23:59:59.999
14,6.6386,6.719,4.63,4.9449,94501052.3,2018-09-09 23:59:59.999
15,4.9449,5.5555,4.72,5.409,83867421.51,2018-09-16 23:59:59.999
16,5.4069,6.3,4.6745,6.0263,78596128.18,2018-09-23 23:59:59.999
17,6.0265,6.0405,5.01,5.7257,86609550.07,2018-09-30 23:59:59.999
18,5.7259,5.91,5.4431,5.763,87146709.85,2018-10-07 23:59:59.999
19,5.7585,6.0298,5.0151,5.2149,70983247.19,2018-10-14 23:59:59.999
20,5.2105,6.05,5.1448,5.5125,56416015.01,2018-10-21 23:59:59.999
21,5.5108,5.5556,5.381,5.4342,16508416.41,2018-10-28 23:59:59.999
22,5.4343,5.6153,5.0633,5.5442,12922303.65,2018-11-04 23:59:59.999
23,5.5443,5.84,5.272,5.4886,12258840.26,2018-11-11 23:59:59.999
24,5.4822,5.527,4.269,4.6425,19902835.27,2018-11-18 23:59:59.999
25,4.6497,4.6501,3.04,3.405,55235662.62,2018-11-25 23:59:59.999
26,3.405,3.4728,2.7988,2.8605,43528669.65,2018-12-02 23:59:59.999
27,2.8628,2.89,1.528,1.9855,85778783.81,2018-12-09 23:59:59.999
28,1.9869,2.058,1.7548,1.904,69580213.16,2018-12-16 23:59:59.999
29,1.9036,2.9346,1.8973,2.7774,121084844.24,2018-12-23 23:59:59.999
30,2.7775,3.0842,2.2137,2.6349,86702399.27,2018-12-30 23:59:59.999
31,2.634,2.8626,2.4323,2.8092,49163006.45,2019-01-06 23:59:59.999
32,2.8104,2.9474,2.1762,2.2092,56560680.53,2019-01-13 23:59:59.999
33,2.2095,2.5085,2.2044,2.3266,41824953.19,2019-01-20 23:59:59.999
34,2.3279,2.4948,2.2583,2.3522,28487835.4,2019-01-27 23:59:59.999
35,2.3521,2.455,2.15,2.3707,23216972.37,2019-02-03 23:59:59.999
36,2.3701,2.86,2.3,2.8393,31519780.27,2019-02-10 23:59:59.999
37,2.8401,3.0171,2.6826,2.8762,37741284.17,2019-02-17 23:59:59.999
38,2.8762,4.4416,2.8601,3.5289,105197547.32,2019-02-24 23:59:59.999
39,3.5327,3.713,3.2658,3.5158,57538211.13,2019-03-03 23:59:59.999
40,3.5159,3.9,3.1,3.6935,72855218.56,2019-03-10 23:59:59.999
41,3.6948,3.8475,3.4688,3.7376,44584228.3,2019-03-17 23:59:59.999
42,3.7366,3.7954,3.4912,3.6314,34824761.34,2019-03-24 23:59:59.999
43,3.6314,4.406,3.5714,4.1893,57342843.11,2019-03-31 23:59:59.999
44,4.1895,5.911,4.1382,5.4207,86207597.78,2019-04-07 23:59:59.999
45,5.4174,5.973,5.0276,5.5422,66575364.16,2019-04-14 23:59:59.999
